Title,Year,Journal,Volume,Issue,Pages,Authors,Publisher,Abstract
Influence of Reaction Time in the Emotional Response of a Companion        Robot to a Child's Aggressive Interaction,2020,INTERNATIONAL JOURNAL OF SOCIAL ROBOTICS,12,6,1279-1291,"Alhaddad, AY and Cabibihan, JJ and Bonarini, A and Alhaddad, Ahmad Yaser and Cabibihan, John-John and Bonarini, Andrea",SPRINGER,"The quality of a companion robot's reaction is important to make it acceptable to the users and to sustain interactions. Furthermore, the robot's reaction can be used to train socially acceptable behaviors and to develop certain skills in both normally developing children and children with cognitive disabilities. In this study, we investigate the influence of reaction time in the emotional response of a robot when children display aggressive interactions toward it. Different interactions were considered, namely, pickup, shake, drop and throw. The robot produced responses as audible sounds, which were activated at three different reaction times, namely, 0.5 s, 1.0 s, and 1.5 s. The results for one of the tasks that involved shaking the robotic toys produced a significant difference between the timings tested. This could imply that producing a late response to an action (i.e. greater than 1.0 s) could negatively affect the children's comprehension of the intended message. Furthermore, the response should be comprehensible to provide a clear message to the user. The results imply that the designers of companion robotic toys need to consider an appropriate timing and clear modality for their robots' responses."
Comparing the Effectiveness of Different Reinforcement Stimuli in a        Robotic Therapy for Children With ASD,2020,IEEE ACCESS,8,,13128-13137,"Ali, S and Mehmood, F and Ayaz, Y and Khan, MJ and Sadia, H and Nawaz, R and Ali, Sara and Mehmood, Faisal and Ayaz, Yasar and Khan, Muhammad Jawad and Sadia, Haleema and Nawaz, Raheel",IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,"Recent research has shown reliability in robotic therapies for improvement in core impairments of autism. To improve the efficiency of communication using robots, this study evaluates the effectiveness of three different stimuli in a robotic intervention for children with autism spectrum disorder. Three different reinforcement stimuli presented in least-to-most (LTM) order introduced in this therapy using NAO robot are: visual (color variation), auditory and motion cues. The therapy was tested on 12 ASD children, 4 out of 12 children fall under mild category whereas 8 fall under the minimal category of autism. The experimentationwas conducted for 2 months. Total 8 experiments were conducted with 1 trial per week. Total 12 cues were given per trial, 4 cues corresponding to each category. In total 96 cues were given per subject, 32 cues from each category. The results indicate a general trend for linking a particular autism category with the most effective stimulus for that category. It can be concluded that visual cue (color variation) is the most effective reinforcement stimulus for children with minimal autism as 8 out of 8 i.e., 100% were more responsive to visual cues whereas for children with mild autism category, 3 out of 4 i.e., 75% are more receptive towards the motion stimulus. The parameters used for assessment were joint attention and the time eye contact is maintained. Single factor ANOVA was used for the statistical analysis of results with alpha is 0.05 and p-value 0.0342, F value is 3.7456 and F critical value is 3.2834. The test was performed on 96 (8x12) trails in total, therefore ensuring the significance and reliability of our results."
An Adaptive Multi-Robot Therapy for Improving Joint Attention and        Imitation of ASD Children,2019,IEEE ACCESS,7,,81808-81825,"Ali, S and Mehmood, F and Dancey, D and Ayaz, Y and Khan, MJ and Naseer, N and Amadeu, RD and Sadia, H and Nawaz, R and Ali, Sara and Mehmood, Faisal and Dancey, Darren and Ayaz, Yasar and Khan, Muhammad Jawad and Naseer, Noman and Amadeu, Rita De Cassia and Sadia, Haleema and Nawaz, Raheel",IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,"Robot-mediated therapies for autism spectrum disorder (ASD) have shown promising results in the past. We have proposed a novel mathematical model based on an adaptive multi-robot therapy of ASD children focusing on two main impairments in autism: 1) joint attention and 2) imitation. Joint attention intervention is based on three different least-to-most (LTM) cues, whereas the adaptive imitation module uses joint attention for activation of the robot. The proposed model uses a multi-robot system as a therapist without any external stimuli (from the environment) to improve the skills of the ASD child. Another novel aspect of this paper is the deployment of a multi-robot system for introducing the ASD child to the concept of multi-person communication. This is particularly useful as, unlike humans, robots can be more consistent and relatively immune to fatigue. Two different therapies of human-robot interaction (i.e., with and without inter-robot communication) have been conducted. The model has been tested on 12 ASD children, eight sessions for each intervention over a period of six months. The effectiveness of the model is validated by analyzing the cognitive state of the brain before and after the intervention with electroencephalogram (EEG) neuroheadsets. Moreover, results obtained using the childhood autism rating scale (CARS) to measure the effectiveness of therapy also support the conclusions firmly. The statistical results with the p-value = 3.79E-07 < 0.05 and the F value = 23.93 > 3.28 show reliability and significance of the data. The results strongly indicate significant improvements in both modules, along with a notable improvement in multi-communication skills of the participating children."
A Preliminary Study on Effectiveness of a Standardized Multi-Robot        Therapy for Improvement in Collaborative Multi-Human Interaction of        Children With ASD,2020,IEEE ACCESS,8,,109466-109474,"Ali, S and Mehmood, F and Khan, MJ and Ayaz, Y and Asgher, U and Sadia, H and Edifor, E and Nawaz, R and Ali, Sara and Mehmood, Faisal and Khan, Muhammad Jawad and Ayaz, Yasar and Asgher, Umer and Sadia, Haleema and Edifor, Ernest and Nawaz, Raheel",IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,"This research article presents a preliminary longitudinal study to check the improvement in multi-human communication of children with Autism Spectrum Disorder (ASD) using a standardized multi-robot therapy. The research is based on a 3 step framework: 1) Human-Human Interaction, Stage-1 (HHI-S1), 2) Human-Robot Interaction, Stage-2 (HRI-S2), and 3) Human-Human Interaction, Stage-3 (HHI-S3). All three stages of the therapy consist of two command sets: 1) Controls commands and 2) Evaluation commands (auditory commands, visual commands, and combination of both). The concept of multiple robots is introduced to help multi-human communication and discourage isolation in ASD children. The joint attention of an ASD child is improved by the robotic therapy in stage 2 considering it as a key parameter for a multi-human communication scenario. The improvement in joint attention results in better command following in a triad multi-human communication scenario in stage 3 as compared to stage 1. The proposed intervention has been tested on 8 ASD subjects with 10 sessions over a period of two and a half months (10 weeks). Each session of human-human interaction (stage 1 and 3) consisted of 14 cues whereas 18 cues were presented by each robot for human-robot interaction (stage 2). The results indicate an overall 86% improvement in the social communication skills of ASD children in case of a multi-human scenario. Validation of results and effectiveness of the therapy has been further accomplished through the use of the Childhood Autism Rating Scale (CARS) score."
Effect of different visual stimuli on joint attention of ASD children using NAO robot,2020,Advances in Intelligent Systems and Computing,953,,490-499,"Ali, S. and Mehmood, F. and Ayaz, Y. and Asgher, U. and Khan, M.J.",,"Interaction of autistic children with socially assistive robots have shown improvements in their impairments. This research focuses on one of the core impairments i.e. joint attention of children with autism spectrum disorder (ASD) using robot-mediated therapy. The study aims to compare the effect of different visual stimuli on joint attention. Two different visual cues i.e. rasta and blink by NAO robot are introduced. The evaluation parameters are total time for eye contact and number of eye contacts in response to generated stimuli. The experiment is conducted on 12 ASD children, 8 sessions for each cue over the period of 2 months. Each session consists of 8 trials of each category. This approach achieves 80.3% of accuracy for rasta while 65.1% for blink cue. The average eye contact time for rasta is 38.8 s and for blink is 32.4 s, signifying the effect of a prominent visual cue in improvement of joint attention. © Springer Nature Switzerland AG 2020."
Effect of Paired Stimuli on Joint Attention of Children with ASD,2021,Advances in Intelligent Systems and Computing,1201,,362-368,"Ali, S. and Mehmood, F. and Ayaz, Y. and Khan, M.J. and Asgher, U.",,"Recently, one of the prominent applications of human-robot interaction is in assistive therapy using humanoids for children with Autism Spectrum Disorder (ASD). These robotic therapies have shown promising results in improvising new communication methodologies, improvement in motor movements, joint attention and physical behavior of the children suffering from ASD. In daily life interactions, multiple types of social cues are used. The focus of this study is on the combination of most commonly used social cues i.e., visual, speech and motion used for improvement in joint attention of autistic child. The paired stimuli combination used in this research are visual plus speech (V+S), speech plus motion (S+M), and motion plus visual (M+V). The paired stimuli of V+S was presented using robot’s blinking eyes and the speech sound “Hello! I am NAO robot”. S+M cue consisted of waving hand with speech sound “Hello! Nice to meet you” and M+V cue was presented as sitting down of the robot with colored eye cue. The aim is to measure the responses of the children towards combination of different social cues in terms of Joint Attention (JA). The duration for which the eye contact is established also gives information about the response of a child towards a certain paired stimulus. The experimentation was carried on 12 subjects over a period of 2 months. The frequency of trials was one trial per week per subject. Each of the subject participated in 8 experiments. The results show that each combination of paired stimuli introduced to the children with ASD has same effect on joint attention of the child. The average accuracy for each type of paired stimuli was 66.23%, 66.40%, and 66.95% respectively. © 2021, The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG."
Personalized Robot Interventions for Autistic Children: An Automated Methodology for Attention Assessment,2021,International Journal of Social Robotics,13,1,67-82,"Alnajjar, F. and Cappuccio, M. and Renawi, A. and Mubin, O. and Loo, C.K.",,"We propose a robot-mediated therapy and assessment system for children with autism spectrum disorder (ASD) of mild to moderate severity and minimal verbal capabilities. The objectives of the robot interaction sessions is to improve the academic capabilities of ASD patients by increasing the length and the quality of their attention. The system uses a NAO robot and an added mobile display to present emotional cues and solicit appropriate emotional responses. The interaction is semi-autonomous with minimal human intervention.Interaction occurs within an adaptive dynamic scenario composed of 13 sections. The scenario allows adaptive customization based on the attention score history of each patient. The attention score is autonomously generated by the system and depends on face attention and joint attention cues and sound responses. The scoring system allows us to prove that the customized interaction system increases the engagement and attention capabilities of ASD patients.After performing a pilot study, involving 6 ASD children, out of a total of 11 considered in the clinical setup, we conducted a long-term study. This study empirically proves that the proposed assessment system represents the attention state of the patient with 82.4% accuracy. © 2020, Springer Nature B.V."
Interactive social robots in special education,2017,"IEEE International Conference on Consumer Electronics - Berlin, ICCE-Berlin",2017,,126-129,"Amanatiadis, A. and Kaburlasos, V.G. and Dardani, C. and Chatzichristofis, S.A.",,"This paper presents advances in robot-Assisted special education by specially designed social interaction games. The therapeutic objectives include an improvement in social communication and interaction skills, joint attention, response inhibition and cognitive flexibility of children diagnosed with Autism Spectrum Condition (ASC). To achieve the aforementioned objectives, imitation games with humanoid robots are implemented. Preliminary application results suggest that robot-Assisted treatment can improve children behavior. Hence, an engagement of humanoid robots in special education is encouraged. Further improvements are planned by computational intelligence techniques toward increasing the humanoid robot autonomy. © 2017 IEEE."
Social Robots in Special Education: Creating Dynamic Interactions for Optimal Experience,2020,IEEE Consumer Electronics Magazine,9,3,39-45,"Amanatiadis, A. and Kaburlasos, V.G. and Dardani, C. and Chatzichristofis, S.A. and Mitropoulos, A.",,"Recent research has proved the positive therapeutic impacts of robot interaction with children diagnosed with the autism spectrum condition. Until now, most of the evaluated treatment methods apply one-to-one sessions between a single robot and a child. This article explores the potential therapeutic effects of multirobot-assisted therapies, along with a proposed game playlist for pursuing such interactive sessions. Considerations for the therapeutic objectives, such as the improvement in social communication and interaction skills, joint attention, response inhibition, and cognitive flexibility are also explored. Finally, general procedures and guidelines are provided to further assist the adoption and use of such multirobot sessions. © 2019 IEEE."
Investigating tactile event recognition in child-robot interaction for use in autism therapy.,2011,Annual International Conference of the IEEE Engineering in Medicine and Biology           Society. IEEE Engineering in Medicine and Biology Society. Annual International            Conference,2011,,5347-51,Amirabdollahian F and Robins B and Dautenhahn K and Ji Z,,"The work presented in this paper is part of our investigation in the ROBOSKIN project. The project aims to develop and demonstrate a range of new robot capabilities based on robot skin tactile feedback from large areas of the robot body. The main objective of the project is to develop cognitive mechanisms exploiting tactile feedback to improve human-robot interaction capabilities. The project aims also to investigate the possible use of this technology in robot-assisted play in the context of autism therapy. This article reports progress made in investigating tactile child-robot interactions where children with autism interacted with the humanoid robot KASPAR equipped with the first prototype of skin patches, introducing a new algorithm for tactile event recognition which will enhance the observational data analysis that has been used in the past."
Recognition of Echolalic Autistic Child Vocalisations Utilising        Convolutional Recurrent Neural Networks,2018,"19TH ANNUAL CONFERENCE OF THE INTERNATIONAL SPEECH COMMUNICATION        ASSOCIATION (INTERSPEECH 2018), VOLS 1-6: SPEECH RESEARCH FOR EMERGING        MARKETS IN MULTILINGUAL SOCIETIES",,,2334-2338,"Amiriparian, S and Baird, A and Julka, S and Alcorn, A and Ottl, S and Petrovic, S and Ainger, E and Cummins, N and Schuller, B and Amiriparian, Shahin and Baird, Alice and Julka, Sahib and Alcorn, Alyssa and Ottl, S and ra and Petrovic, Suncica and Ainger, Eloise and Cummins, Nicholas and Schuller, Bjoern     GP Int Speech Commun Assoc",ISCA-INT SPEECH COMMUNICATION ASSOC,"Autism spectrum conditions (ASC) are a set of neuro-developmental conditions partly characterised by difficulties with communication. Individuals with ASC can show a variety of atypical speech behaviours, including echolalia or the 'echoing' of another's speech. We herein introduce a new dataset of 15 Serbian ASC children in a human-robot interaction scenario, annotated for the presence of echolalia amongst other ASC vocal behaviours. From this, we propose a four-class classification problem and investigate the suitability of applying a 2D convolutional neural network augmented with a recurrent neural network with bidirectional long short-term memory cells to solve the proposed task of echolalia recognition. In this approach, log Mel-spectrograms are first generated from the audio recordings and then fed as input into the convolutional layers to extract high-level spectral features. The subsequent recurrent layers are applied to learn the long-term temporal context from the obtained features. Finally, we use a feed forward neural network with softmax activation to classify the dataset. To evaluate the performance of our deep learning approach, we use leave-one subject-out cross-validation. Key results presented indicate the suitability of our approach by achieving a classification accuracy of 83.5 % unweighted average recall."
Can the social robot probo help children with autism to identify situation-based emotions? A series of single case experiments,2013,International Journal of Humanoid Robotics,10,3,,"Anamaria, P.C. and Ramona, S. and Sebastian, P. and Jelle, S. and Alina, R. and Daniel, D. and Johan, V. and Dirk, L. and Bram, V.",,"Children with autism spectrum disorders have difficulties in identifying situation-based emotions, which is a fundamental ability for mind reading. Social robots received increased attention as assisting tools for improving the social and emotional skills of children with autism. This study investigates whether the social robot Probo can help children with autism spectrum disorders to enhance their performance in identifying situation-based emotions. Three participants (age between 5 and 6) diagnozed with autism spectrum disorders were included in a single case AB experimental design, with intersubjects replications. The results show that children's performance improved with moderate to large effect sizes in identifying both sadness and happiness. Based on these results, we intend to perform more extensive investigations regarding the effectiveness of robot assisted therapy in improving social-emotional abilities for children with autism spectrum disorders. © 2013 World Scientific Publishing Company."
A study of Auti: A socially assistive robotic toy,2014,ACM International Conference Proceeding Series,,,245-248,"Andreae, H. and Andreae, P. and Low, J. and Brown, D.",,"This paper presents an evaluation of the effectiveness of a new socially-assistive robot, Auti, in encouraging physical and verbal interactions in children with autism. It aims to encourage positive play behaviors such as gentle speaking and touching, with positive reinforcement through movement responses, and to discourage challenging behaviors, such as screaming or hitting through the removal of the reinforcing movements. This study evaluates the design by comparing a fully-interactive Auti to an active-only version, which does the same movements but does not respond to the child. Results from 18 participants indicate that the Interactive Auti does encourage positive behaviors more than the Active-only version. However, further design is needed around addressing problematic behaviors."
A humanoid robot controlled by neurofeedback to reinforce attention in autism spectrum disorder,2017,CEUR Workshop Proceedings,1834,,61-67,"Anzalone, S.M. and Tanet, A. and Pallanca, O. and Cohen, D. and Chetouani, M.",,"Children with Autism Spectrum Disorder can find very difficult focusing their attention towards activities they find less attractive than the ones they like. In this paper we will introduce a prototype designed to reinforce their mental skills through neurofeedback using EEG data and a small humanoid robot to stimulate attention towards a joint activity. © 2017, CEUR-WS. All rights reserved."
Quantifying patterns of joint attention during human-robot interactions: An application for autism spectrum disorder assessment,2019,Cooperative and Social Robots: Understanding Human Activities and Intentions,118,,42-50,"Anzalone, Salvatore Maria and Xavier, Jean and Boucenna, Sofiane and Billeci, Lucia and Narzisi, Antonio and Muratori, Filippo and Cohen, David and Chetouani, Mohamed",,"In this paper we explore the dynamics of Joint Attention (JA) in children with Autism Spectrum Disorder (ASD) during an interaction task with a small humanoid robot. While this robot elicits JA in children, a coupled perception system based on RGB-D sensors is able to capture their behaviours. The proposed system shows the feasibility and the practical benefits of the use of social robots as assessment tools of ASD. We propose a set of measures to describe the behaviour of the children in terms of body and head movements, gazing magnitude, gazing directions (left vs. front vs. right) and kinetic energies. We assessed these metrics by comparing 42 children with ASD and 16 children with typical development (TD) during the JA task with the robot, highlighting significant differences between the two groups. Employing the same metrics, we also assess a subgroup of 14 children with ASD after 6-month of JA training with a serious game. The longitudinal data confirms the relevance of the proposed metrics as they reveal the improvements of children behaviours after several months of training."
How children with autism spectrum disorder behave and explore the        4-dimensional (spatial 3D+time) environment during a joint attention        induction task with a robot,2014,RESEARCH IN AUTISM SPECTRUM DISORDERS,8,7,814-826,"Anzalone, SM and Tilmont, E and Boucenna, S and Xavier, J and Jouen, AL and Bodeau, N and Maharatna, K and Chetouani, M and Cohen, D and Anzalone, Salvatore Maria and Tilmont, Elodie and Boucenna, Sofiane and Xavier, Jean and Jouen, Anne-Lise and Bodeau, Nicolas and Maharatna, Koushik and Chetouani, Mohamed and Cohen, David and MICHELANGELO Study Grp",ELSEVIER SCI LTD,"We aimed to compare, during a joint attention (JA) elicitation task, how children with autism spectrum disorder (ASD) and children with typical development (TD) behave and explore their 4 dimensional (meaning spatial 3D + time) when interacting with a human or with a robotic agent.        We built a system that employed a Nao robot and a perception system based on a RGB-D sensor (Kinect) to capture social engagement cues. A JA induction experiment was performed in which children with ASD (N = 16) and matched TD children (N = 16) had a 3-mm interaction with the robot or with a therapist. Nao induced JA by gazing; by gazing and pointing; and by gazing, pointing and vocalizing at pictures. Both groups of children performed well with the therapist. However, with Nao, both groups had lower JA scores, and the children with ASD had a significantly lower score than the TD children. We found that (i) multimodal JA induction was more efficient in both groups; (ii) the 3D spatial world gaze exploration showed less accuracy; and (iii) the trunk position in ASD showed less stability in the 4 dimensions compared to TD controls.        We conclude that, in ASD, JA skill depends on the interaction partner, and implies a higher motor and cognitive cost. (c) 2014 Elsevier Ltd. All rights reserved."
Development of color following robot for interaction with autistic children,2020,"Proceedings - 2020 International Conference on Assistive and Rehabilitation Technologies, iCareTech 2020",,,137-142,"Aqel, M.O.A. and Alhalabi, A. and Jabre, A.",,"Children and kids who are on the autism spectrum (who suffer from ASD) do, like all kids, enjoy playing, but they face difficulties and challenges with conventional toys and games. They are commonly faced with the lack of playing options not usually faced by non-autistic peers, managing to play with only a handful of toys, or in a repetitive way. For instance, an autistic child might enjoy the rotation of the wheels of a toy car or bicycles, or the repetitive completion of the same puzzles. This paper presents a development of a color following robot by merging computer vision algorithms and toy car in order to be a joy and benefit to autistic children. This car-like robot asks the autistic kid to show it a ball of a certain color and the car praises the child if the color is correct and follows the ball and the child for a while, or if the color is wrong it asks the child to try again in an interactive and fun way.The inspiration behind this work was to provide a complex in depth but very intuitive and easy to use application of computer vision and modern processing power in small form factors (e.g. Raspberry Pi) to provide an interactive toy for autistic kids. © 2020 IEEE."
Social robot in diagnosis of autism among preschool children,2019,"2019 24th International Conference on Methods and Models in Automation and Robotics, MMAR 2019",,,652-656,"Arent, K. and Kruk-Lasocka, J. and Niemiec, T. and Szczepanowski, R.",,"Current research on autism raises an important methodological issue concerning reliable measurement tools to diagnose abnormal social interactions within autistic children. Here we presents proposal of a interdisciplinary approach combining psychology and robotics yielding Human-Robot interaction to recognize autism symptoms based on a pre-schoolers' play with the social robot ('Touch me' and 'Dance with me'). The observational measures combined with competent raters technique indicated abnormal interaction patterns in children with autism during interactive games with NAO robot. Our research, by linking psychological and engineering perspectives provides promising preliminary results on application of robot to study autism based on HRI and results in collection of user's requirements and evaluation's criteria for a robot design. © 2019 IEEE."
Robots as Assistive Technology Tools to Enhance Cognitive Abilities and        Foster Valuable Learning Experiences among Young Children With Autism        Spectrum Disorder,2020,IEEE ACCESS,8,,116279-116291,"Arshad, NI and Hashim, AS and Ariffin, MM and Aszemi, NM and Low, HM and Norman, AA and Arshad, Noreen Izza and Hashim, Ahmad Sobri and Mohd Ariffin, Mazeyanti and Mohd Aszemi, Nurshazlyn and Low, Hui Min and Norman, Azah Anir",IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,"This study examines the efficacy of robots as assistive technology (AT) learning tools for children with autism spectrum disorder (ASD). The study attempts to find answers to whether robots as assistive tools can (i) profoundly improve achievement in learning and (ii) provide valuable learning experiences among this group of children. Using LEGO Mindstorms EV3, a robot was built and programmed to teach the basic concept of place value in mathematics. Eight children with ASD, specifically, four females and four males, participated in the single case study, and six special education teachers took part in the interviews. The children participated in both traditional and robotic intervention lessons and were assessed at the end of each session. The results indicate a positive increase in content knowledge and an improved disposition toward learning, thus demonstrating the potential utilization of robots as AT tools for harnessing classroom learning. Data from the interviews with teachers highlighted four valuable learning experiences that occurred in the classrooms as a result of the robotic interventions; namely, with respect to young children with ASD, the AT (1) promoted interest and engagement, (2) increased attention and focus, (3) triggered interactions and communication, and (4) created a happy and fun learning environment."
Social engagement of children with autism spectrum disorder (ASD) in imitating a humanoid robot: a case study,2020,SN Applied Sciences,2,6,,"Aryania, A. and Aghdasi, H.S. and Beccaluva, E.A. and Bonarini, A.",,"Our study aims to compare the social engagement behaviors of the children with autism spectrum disorder (ASD) in interaction with a kid-size humanoid robot and a human partner in a motor imitation task on two children with ASD with high functioning. The evaluation measures (e.g., eye gaze direction, gaze shifting, completeness/correctness of the movements, initiation with/without prompt, verbal instruction, and time differences between starting/finishing the robot’s movement and the child’s movement) are extracted from the recorded videos of the trial sessions and analyzed to assess the engagement of the children in interaction with the robot or a human partner. The results indicate that the eye gaze duration to the robot, the frequency of the initiation without prompt, and the frequency of the complete and correct movements for Child 1 in the robot condition are higher compared to the human condition, while these criteria for Child 2 in the robot condition are slightly less compared to the human condition. Also, the frequency of the gaze shifting for Child 1 in the robot condition is lower compared to the human condition, while for Child 2, it is slightly higher compared to the human condition. Moreover, both children show desirable results in the case of the frequency of the required verbal instructions, and finished the movements before the robot and started after the robot most time. Finally, the study can suggest child–robot interaction to improve the social engagement of some children with ASD. © 2020, Springer Nature Switzerland AG."
